,City,Country,Date,Max Temp,Cloudiness,Wind Speed,Humidity,Latitude,Longitude
47,Petropavlovsk-Kamchatskiy,RU,1619474699,32.0,90,4.47,100,53.0452,158.6483
48,Hithadhoo,MV,1619474700,82.4,10,4.9,64,-0.6,73.0833
49,Kirakira,SB,1619474700,81.5,73,4.56,75,-10.4544,161.9205
50,Hobart,AU,1619474668,46.99,20,8.05,87,-42.8794,147.3294
51,La Santisima Trinidad,BO,1619474700,75.2,75,4.61,73,-14.8333,-64.9
52,Kupang,ID,1619474701,72.18,89,6.69,72,-10.1667,123.5833
53,Buala,SB,1619474701,83.17,92,5.39,77,-8.145,159.5921
54,Waynesville,US,1619474701,72.0,4,1.01,38,35.4887,-82.9887
55,San Patricio,US,1619474702,82.4,90,19.57,65,28.017,-97.5169
56,Hambantota,LK,1619474702,78.8,20,2.3,100,6.1241,81.1185
57,Albania,AL,1619474702,57.2,75,6.91,72,41.0,20.0
58,Wuzhou,CN,1619474703,66.61,100,2.48,96,23.4833,111.3167
59,Shemonaīkha,KZ,1619474664,46.06,100,3.87,58,50.6328,81.9056
60,Inta,RU,1619474448,37.47,100,10.36,97,66.0317,60.1659
61,Ciudad Bolivar,VE,1619474703,95.04,92,5.95,32,8.1222,-63.5497
62,Ambon City,ID,1619474704,73.4,20,13.8,94,-3.6954,128.1814
63,Souillac,MU,1619474704,78.8,75,12.66,78,-20.5167,57.5167
64,Chokurdakh,RU,1619474704,22.06,99,4.9,89,70.6333,147.9167
65,Albany,US,1619474705,54.0,2,7.0,29,42.6001,-73.9662
66,Ancud,CL,1619474423,59.0,40,9.22,77,-41.8697,-73.8203
67,Mahébourg,MU,1619474706,78.8,75,12.66,78,-20.4081,57.7
68,Perth,AU,1619474493,59.0,0,3.44,82,-31.9333,115.8333
69,Russell,US,1619474414,82.4,1,6.91,34,32.3502,-85.1999
70,Mandan,US,1619474682,52.0,75,6.08,100,46.8267,-100.8896
71,New Norfolk,AU,1619474706,46.99,14,2.46,86,-42.7826,147.0587
72,Carutapera,BR,1619474707,77.54,100,6.55,86,-1.195,-46.02
73,Flinders,AU,1619474707,55.99,1,1.01,92,-34.5833,150.8552
74,St. George's,GD,1619474707,82.4,20,21.85,69,12.0564,-61.7485
75,Beloha,MG,1619474708,72.75,7,6.31,72,-25.1667,45.05
76,Antofagasta,CL,1619474708,64.4,0,9.22,72,-23.65,-70.4
77,Limbang,MY,1619474708,77.0,75,2.3,100,4.75,115.0
78,Punta Arenas,CL,1619474427,44.6,75,8.05,100,-53.15,-70.9167
79,Tiarei,PF,1619474709,86.0,40,8.05,66,-17.5333,-149.3333
80,Guerrero Negro,MX,1619474709,64.78,98,16.84,56,27.9769,-114.0611
81,Yangi Marg`ilon,UZ,1619474709,57.2,0,2.3,62,40.4272,71.7189
82,Taoudenni,ML,1619474710,93.49,33,12.28,13,22.6783,-3.9836
83,Bredasdorp,ZA,1619474710,51.8,16,4.83,87,-34.5322,20.0403
84,Tadine,NC,1619474711,74.21,100,19.39,70,-21.55,167.8833
85,Barcelos,PT,1619474711,59.0,20,3.44,94,41.5388,-8.6151
86,Isabela,PH,1619474711,75.2,40,1.14,94,6.7085,121.9711
87,Benguela,AO,1619474712,77.79,16,0.38,82,-12.5763,13.4055
88,Vung Tau,VN,1619474712,82.35,93,5.82,71,10.346,107.0843
89,Bluff,NZ,1619474713,44.01,56,5.01,85,-46.6,168.3333
90,Lorengau,PG,1619474713,82.33,95,0.94,74,-2.0226,147.2712
91,Oddur,SO,1619474713,79.41,98,2.73,63,4.1213,43.8894
92,Puerto Ayora,EC,1619474714,82.4,40,18.41,69,-0.7393,-90.3518
93,Port Elizabeth,ZA,1619474714,64.4,0,5.75,88,-33.918,25.5701
94,Castro,BR,1619474467,62.82,51,2.51,73,-24.7911,-50.0119
95,Pisco,PE,1619474714,68.0,0,9.22,83,-13.7,-76.2167
96,Nome,US,1619474714,44.6,1,4.61,57,64.5011,-165.4064
97,Mandurah,AU,1619474715,61.0,100,4.5,80,-32.55,115.7
98,Jijiga,ET,1619474715,62.64,100,3.67,80,9.35,42.8
99,Geraldton,AU,1619474715,59.0,31,10.36,67,-28.7667,114.6
100,Mocuba,MZ,1619474716,69.89,71,2.3,98,-16.8392,36.9856
101,Cidreira,BR,1619474716,65.08,42,10.04,69,-30.1811,-50.2056
102,Hilo,US,1619474716,78.8,90,9.22,57,19.7297,-155.09
103,Itarema,BR,1619474580,80.26,69,13.04,78,-2.9248,-39.9167
104,Guiratinga,BR,1619474717,75.16,87,3.62,70,-16.3494,-53.7583
105,Mossamedes,AO,1619474717,75.33,1,8.41,73,-15.1961,12.1522
106,Severo-Kuril'sk,RU,1619474717,31.05,100,22.1,95,50.6789,156.125
107,Yellowknife,CA,1619474487,10.0,40,13.8,52,62.456,-114.3525
108,Lamu,KE,1619474719,80.92,38,11.16,80,-2.2717,40.902
109,Muncar,ID,1619474719,77.41,61,7.31,84,-8.4333,114.3333
110,Chapais,CA,1619474719,35.6,90,16.11,69,49.7834,-74.8492
111,Tasiilaq,GL,1619474720,39.2,20,7.96,75,65.6145,-37.6368
112,Genhe,CN,1619474720,35.74,100,12.24,86,50.7833,121.5167
113,Portland,US,1619474714,60.01,75,4.61,67,45.5234,-122.6762
114,Carnarvon,AU,1619474720,62.6,0,5.75,67,-24.8667,113.6333
115,Nanortalik,GL,1619474429,33.91,100,8.95,98,60.1432,-45.2371
116,Nantucket,US,1619474721,53.6,1,14.97,43,41.2835,-70.0995
117,Verāval,IN,1619474721,80.24,14,12.39,80,20.9,70.3667
118,Havøysund,NO,1619474722,32.0,75,5.75,80,70.9963,24.6622
119,Shakawe,BW,1619474722,70.07,77,3.53,37,-18.3667,21.85
120,San Miguel de Cozumel,MX,1619474722,86.0,40,6.91,58,20.5083,-86.9458
121,Raduzhny,RU,1619474723,35.85,100,5.23,94,62.0961,77.475
122,Tifton,US,1619474723,80.6,1,3.44,41,31.4505,-83.5085
123,Araouane,ML,1619474723,92.25,39,10.94,12,18.9048,-3.5265
124,Esperance,AU,1619474723,66.2,100,17.27,39,-33.8667,121.9
125,Igrim,RU,1619474724,34.39,48,4.85,86,63.1906,64.4162
126,Payo,ID,1619474724,71.71,22,2.08,93,-3.7508,103.6372
127,Mount Gambier,AU,1619474724,51.8,90,2.3,93,-37.8333,140.7667
128,San Jose,US,1619474620,64.0,75,14.97,45,37.3394,-121.895
129,Namatanai,PG,1619474725,82.96,60,3.33,72,-3.6667,152.4333
130,Kisangani,CD,1619474725,70.48,28,1.79,89,0.5167,25.2
131,Vestmannaeyjar,IS,1619474726,45.09,9,9.42,89,63.4427,-20.2734
132,Río Gallegos,AR,1619474726,62.6,40,11.5,42,-51.6226,-69.2181
133,Lamar,US,1619474726,82.0,1,16.11,47,33.6668,-95.5836
134,Jamestown,US,1619474526,52.0,90,6.91,40,42.097,-79.2353
135,Saldanha,ZA,1619474726,60.8,77,19.57,94,-33.0117,17.9442
136,Malé,MV,1619474727,84.2,20,6.91,79,4.1748,73.5089
137,Edson,CA,1619474466,55.4,20,19.57,18,53.5835,-116.4356
138,Port-Cartier,CA,1619474727,44.01,90,13.8,93,50.0334,-66.8654
139,Camaná,PE,1619474727,69.89,26,8.41,77,-16.6228,-72.7111
140,Sur,OM,1619474728,86.38,29,10.4,36,22.5667,59.5289
141,Berlevåg,NO,1619474728,28.4,75,11.5,86,70.8578,29.0864
142,Vaini,TO,1619474728,77.0,75,9.22,94,-21.2,-175.2
143,Ponta do Sol,PT,1619474729,61.0,86,1.99,79,32.6667,-17.1
144,Orlik,RU,1619474729,13.75,36,2.04,93,52.5178,99.825
145,Mahibadhoo,MV,1619474729,82.63,54,6.98,74,3.7833,72.9667
146,Cabo San Lucas,MX,1619474515,75.2,75,10.36,46,22.8909,-109.9124
147,Agüimes,ES,1619474730,68.0,40,10.36,68,27.9054,-15.4461
148,Nhulunbuy,AU,1619474451,77.0,90,4.12,94,-12.2333,136.7667
149,Zhigansk,RU,1619474730,13.51,100,16.58,90,66.7697,123.3711
150,Saint-François,FR,1619474730,53.6,0,2.64,76,46.4154,3.9054
151,Tessalit,ML,1619474731,91.02,12,8.19,8,20.1986,1.0114
152,Dongning,CN,1619474731,46.56,68,2.08,66,44.0622,131.1207
153,Lebu,CL,1619474731,56.19,4,10.76,81,-37.6167,-73.65
154,La Ronge,CA,1619474732,51.8,100,9.22,25,55.1001,-105.2842
155,Bilma,NE,1619474732,90.52,11,9.19,9,18.6853,12.9164
156,Grindavik,IS,1619474733,42.8,0,4.61,75,63.8424,-22.4338
157,Purpe,RU,1619474733,30.0,100,18.57,83,64.4803,76.6897
158,Margate,GB,1619474734,44.01,94,3.0,78,51.3813,1.3862
159,Deputatsky,RU,1619474734,25.81,100,1.74,92,69.3,139.9
160,Longyearbyen,SJ,1619474734,21.2,40,11.5,63,78.2186,15.6401
161,Arrondissement d'Arcachon,FR,1619474734,55.4,90,4.61,94,44.5875,-1.0519
162,Alofi,NU,1619474735,82.4,41,9.22,83,-19.0595,-169.9187
163,Fortuna,US,1619474735,55.99,40,9.22,62,40.5982,-124.1573
164,Aksarka,RU,1619474736,33.76,100,7.58,99,66.5606,67.7975
165,Sitka,US,1619474736,50.0,1,3.44,76,57.0531,-135.33
166,Henties Bay,NA,1619474736,62.01,16,5.01,88,-22.116,14.2845
167,Nurota,UZ,1619474737,66.2,0,13.8,30,40.5614,65.6886
168,Abhā,SA,1619474737,59.0,0,1.81,82,18.2164,42.5053
169,Vostok,RU,1619474737,42.96,15,3.38,38,46.4856,135.8833
170,Korla,CN,1619474737,54.16,14,6.24,34,41.7597,86.1469
171,Tobol,KZ,1619474738,47.25,100,3.44,96,52.6844,62.5794
172,Baculin,PH,1619474738,77.27,100,4.81,86,7.4525,126.5842
173,East London,ZA,1619474739,69.87,100,3.22,61,-33.0153,27.9116
174,Nikolskoye,RU,1619474739,41.0,75,6.71,75,59.7035,30.7861
175,Bengkulu,ID,1619474708,75.11,85,4.43,88,-3.8004,102.2655
176,Caravelas,BR,1619474739,76.82,50,7.36,78,-17.7125,-39.2481
177,Hong Kong,HK,1619474557,73.99,100,17.31,89,22.2855,114.1577
178,George Town,MY,1619474671,78.8,20,6.91,94,5.4112,100.3354
179,Todos Santos,MX,1619474740,84.0,98,1.01,44,23.45,-110.2167
180,Shubarkuduk,KZ,1619474740,54.45,100,7.25,63,49.1447,56.4872
181,Sampit,ID,1619474468,73.76,97,1.72,96,-2.5333,112.95
182,Necochea,AR,1619474716,57.0,12,1.01,87,-38.5473,-58.7368
183,Chui,UY,1619474740,57.7,10,8.28,71,-33.6971,-53.4616
184,Lagoa,PT,1619474741,60.28,91,8.86,87,39.05,-27.9833
185,Husavik,IS,1619474741,35.6,0,4.61,80,66.0449,-17.3389
186,Fort Dodge,US,1619474681,86.0,1,14.97,37,42.4975,-94.168
187,Mmathubudukwane,BW,1619474741,60.8,0,5.75,33,-24.6,26.4333
188,Goderich,CA,1619474742,39.2,100,1.14,65,43.7501,-81.7165
189,Ottumwa,US,1619474742,87.8,1,23.02,37,41.02,-92.4113
190,Sarkand,KZ,1619474742,49.03,26,8.3,39,45.41,79.9186
191,Oodweyne,SO,1619474743,66.13,100,7.78,82,9.4092,45.064
192,Togul,RU,1619474743,41.72,100,11.77,90,53.465,85.9128
193,Aswān,EG,1619474743,78.93,0,17.58,21,24.0934,32.907
194,Tuktoyaktuk,CA,1619474744,8.6,1,14.97,72,69.4541,-133.0374
195,Anloga,GH,1619474744,84.2,40,6.91,84,5.7947,0.8973
196,Mnogovershinnyy,RU,1619474745,33.67,84,4.52,76,53.9353,139.9242
197,Ukiah,US,1619474745,60.8,90,8.05,39,39.1502,-123.2078
198,Al Bardīyah,LY,1619474745,60.28,1,8.81,76,31.7561,25.0865
199,Tsimmerbude,RU,1619474746,36.0,75,11.18,93,54.675,20.1347
200,Talcahuano,CL,1619474746,60.8,0,10.36,77,-36.7167,-73.1167
201,Verkhoyansk,RU,1619474746,31.32,100,2.64,97,67.5447,133.385
202,Puerto Morazán,NI,1619474747,93.2,20,4.61,43,12.8504,-87.1717
203,Port Alfred,ZA,1619474747,66.7,98,11.95,86,-33.5906,26.891
204,Ha Tinh,VN,1619474748,76.62,100,0.43,92,18.3333,105.9
205,Egvekinot,RU,1619474748,24.06,23,3.49,87,66.3167,-179.1667
206,Umm Hājar,TD,1619474748,87.37,52,9.31,8,13.2954,19.6966
207,Devils Lake,US,1619474749,52.0,1,4.09,54,48.1128,-98.8651
208,Tuatapere,NZ,1619474749,44.01,95,5.01,85,-46.1333,167.6833
209,Koumac,NC,1619474750,75.24,31,15.86,72,-20.5667,164.2833
210,Manzanillo,CU,1619474750,90.57,47,9.89,40,20.3433,-77.1167
211,Akbarpur,IN,1619474750,82.49,0,6.6,6,26.4167,82.55
212,Chirongui,YT,1619474750,78.8,0,2.3,89,-12.9319,45.1483
213,Pyn U Lwin,MM,1619474751,67.42,8,3.15,75,22.0333,96.4667
214,Ostrovnoy,RU,1619474751,30.07,100,16.24,72,68.0531,39.5131
215,Staroye Drozhzhanoye,RU,1619474751,39.76,99,3.22,63,54.7266,47.5677
216,Manado,ID,1619474752,73.4,20,1.14,94,1.487,124.8455
217,Richards Bay,ZA,1619474752,65.71,31,5.61,91,-28.783,32.0377
218,Aykhal,RU,1619474752,7.84,100,13.13,94,66.0,111.5
219,Ganzhou,CN,1619474753,62.83,100,2.24,97,28.8184,115.4327
220,Tezu,IN,1619474753,74.12,21,4.74,27,27.9167,96.1667
221,Saryg-Sep,RU,1619474753,24.19,32,3.87,84,51.5,95.6
222,Te Anau,NZ,1619474753,40.39,76,0.67,85,-45.4167,167.7167
223,Porto-Novo,BJ,1619474754,86.0,20,12.66,74,6.4965,2.6036
224,Yaan,NG,1619474754,83.21,66,6.87,61,7.3833,8.5667
225,Scottsboro,US,1619474533,78.8,1,5.75,41,34.6723,-86.0341
226,Ust-Tsilma,RU,1619474754,37.15,100,1.57,99,65.441,52.1498
227,Upernavik,GL,1619474755,36.32,57,3.69,82,72.7868,-56.1549
228,Salamanca,ES,1619474755,53.6,0,5.75,82,40.8333,-6.0
229,Reshetylivka,UA,1619474756,34.86,5,7.07,84,49.565,34.0782
230,Paraíso,CR,1619474756,84.2,40,13.8,50,9.8383,-83.8656
231,Bambous Virieux,MU,1619474757,78.8,75,12.66,78,-20.3428,57.7575
232,Byron Bay,AU,1619474602,62.01,76,1.14,100,-28.65,153.6167
233,Palana,RU,1619474757,25.36,100,4.41,91,59.1167,159.9667
234,Anqiu,CN,1619474757,52.02,16,6.04,94,36.4342,119.1925
235,Thompson,CA,1619474758,48.2,40,11.5,46,55.7435,-97.8558
236,Labuhan,ID,1619474758,76.71,71,6.35,84,-6.8844,112.2051
237,Danilov,RU,1619474758,30.36,32,4.85,93,58.1908,40.1717
238,Aktobe,KZ,1619474758,51.8,0,15.66,76,50.2797,57.2072
239,Lerwick,GB,1619474759,42.8,90,13.8,87,60.1545,-1.1494
240,Mamlyutka,KZ,1619474759,45.91,100,13.65,84,54.9375,68.5394
241,Chicama,PE,1619474760,62.6,75,11.5,94,-7.8447,-79.1469
242,Ribeira Grande,PT,1619474760,61.02,100,3.71,83,38.5167,-28.7
243,Broken Hill,AU,1619474760,46.4,21,5.86,71,-31.95,141.4333
244,Kewanee,US,1619474761,79.0,21,8.01,45,41.2456,-89.9248
245,Abū Zabad,SD,1619474761,85.78,92,3.67,26,12.35,29.25
246,Lüderitz,NA,1619474761,60.91,81,7.09,87,-26.6481,15.1594
247,Mil'kovo,RU,1619474761,33.49,100,5.41,99,54.7167,158.6167
248,Paphos,CY,1619474762,64.4,75,5.75,82,34.7667,32.4167
249,Clarence Town,AU,1619474762,55.99,40,8.05,100,-32.5833,151.7833
250,Awjilah,LY,1619474763,69.42,5,5.77,31,29.1081,21.2869
251,Grândola,PT,1619474763,57.99,99,1.99,89,38.1772,-8.5668
252,Talaya,RU,1619474763,10.87,37,2.98,79,61.3833,152.75
253,Lander,US,1619474702,59.0,1,24.16,33,42.833,-108.7307
254,Karratha,AU,1619474764,74.28,0,8.77,36,-20.7377,116.8463
255,Strassen,LU,1619474764,42.01,0,10.36,48,49.6206,6.0733
256,Muhos,FI,1619474764,35.6,0,3.44,55,64.808,25.9931
257,Lębork,PL,1619474765,37.0,75,4.61,64,54.5392,17.7501
258,Arlington,US,1619474568,82.99,1,16.11,41,32.7357,-97.1081
259,Jardim,BR,1619474766,68.99,0,5.7,51,-21.4803,-56.1381
260,Mbandaka,CD,1619474766,74.43,61,3.94,81,0.0487,18.2603
261,Cherskiy,RU,1619474766,19.09,52,8.01,85,68.75,161.3
262,Port Lincoln,AU,1619474471,60.66,98,5.68,79,-34.7333,135.8667
263,Jackson,US,1619474682,59.0,20,6.91,35,42.4165,-122.8345
264,Dhārchula,IN,1619474767,62.26,1,8.84,34,29.85,80.5333
265,Leningradskiy,RU,1619474767,28.99,42,5.19,88,69.3833,178.4167
266,Batemans Bay,AU,1619474767,55.0,4,3.0,84,-35.7167,150.1833
267,Coahuayana Viejo,MX,1619474768,86.0,90,13.8,45,18.7333,-103.6833
268,Fort Nelson,CA,1619474768,26.6,90,10.36,63,58.8053,-122.7002
269,Francisco Beltrão,BR,1619474768,58.53,6,5.57,68,-26.0811,-53.055
270,Oshkosh,US,1619474769,55.4,90,17.27,54,44.0247,-88.5426
271,Gigmoto,PH,1619474769,76.78,100,10.25,85,13.7796,124.39
272,Teguise,ES,1619474769,68.0,20,4.61,68,29.0605,-13.564
273,Kumluca,TR,1619474769,66.47,1,6.64,45,36.3703,30.2869
274,Tocopilla,CL,1619474770,69.08,14,5.19,61,-22.092,-70.1979
275,Faanui,PF,1619474770,81.09,91,4.83,67,-16.4833,-151.75
276,Konosha,RU,1619474770,36.7,100,2.86,98,60.9736,40.257
277,La Rioja,ES,1619474771,55.99,90,2.3,82,42.25,-2.5
278,Quatre Cocos,MU,1619474771,78.8,75,12.66,78,-20.2078,57.7625
279,Lubango,AO,1619474771,60.75,37,3.0,69,-14.9172,13.4925
280,Nuuk,GL,1619474772,37.4,90,6.91,93,64.1835,-51.7216
281,Ngorongoro,TZ,1619474772,51.98,97,2.55,92,-3.2397,35.4875
282,Kailua,US,1619474772,82.0,40,8.05,57,21.4022,-157.7394
283,Vila Velha,BR,1619474773,78.8,20,8.05,89,-20.3297,-40.2925
284,Wuwei,CN,1619474773,41.77,71,5.82,29,37.9281,102.6414
285,Xudat,AZ,1619474773,51.93,96,9.75,88,41.631,48.681
286,Deming,US,1619474773,82.4,1,19.57,5,32.2687,-107.7586
287,Bam,IR,1619474774,77.59,51,7.63,20,29.106,58.357
288,Bethel,US,1619474774,59.0,1,16.11,18,41.3712,-73.414
289,Dunedin,NZ,1619474774,45.0,48,17.0,64,-45.8742,170.5036
290,Philadelphia,US,1619474768,63.0,20,9.22,19,39.9523,-75.1638
291,Grande Prairie,CA,1619474478,46.4,75,10.36,36,55.1667,-118.8027
292,Rosetta,EG,1619474775,62.6,0,8.05,77,31.4044,30.4164
293,Yerbogachën,RU,1619474775,15.44,11,6.51,87,61.2767,108.0108
294,Cap Malheureux,MU,1619474776,77.0,100,8.99,83,-19.9842,57.6142
295,Kachug,RU,1619474776,29.66,57,10.94,80,53.9606,105.8817
296,Caconde,BR,1619474777,70.39,77,3.27,55,-21.5294,-46.6439
297,Sinnamary,GF,1619474777,77.27,100,10.29,89,5.3833,-52.95
298,Flin Flon,CA,1619474777,53.6,20,17.27,26,54.7682,-101.865
299,Kostanay,KZ,1619474777,48.2,90,8.95,93,53.1667,63.5833
300,Ankazoabo,MG,1619474778,67.86,9,5.35,87,-22.2833,44.5167
301,Ghātanji,IN,1619474778,89.64,100,5.12,25,20.1333,78.3167
302,Vestmanna,FO,1619474779,39.2,100,25.32,81,62.1564,-7.1664
303,Nioro,GM,1619474779,83.16,25,12.1,36,13.35,-15.75
304,Eyl,SO,1619474779,83.19,91,4.88,72,7.9803,49.8164
305,Waldoboro,US,1619474780,43.0,90,19.57,52,44.0954,-69.3756
306,Saint-Raphaël,HT,1619474780,76.66,59,7.63,73,19.4333,-72.2
307,Venado,MX,1619474780,87.98,99,6.62,17,22.9333,-101.0833
308,Touros,BR,1619474780,78.8,20,8.05,83,-5.1989,-35.4608
309,Vieques,PR,1619474781,82.4,40,12.66,61,18.425,-65.8329
310,Road Town,VG,1619474781,81.0,20,9.22,78,18.4167,-64.6167
311,Cap-aux-Meules,CA,1619474781,41.0,100,8.05,100,47.3821,-61.8597
312,Bereda,ES,1619474782,52.0,58,3.0,100,43.2686,-7.5406
313,Rocha,UY,1619474782,54.88,0,6.53,78,-34.4833,-54.3333
314,Lucapa,AO,1619474782,67.6,90,1.01,90,-8.4192,20.7447
315,Evensk,RU,1619474783,17.38,20,1.43,83,61.95,159.2333
316,Katsuura,JP,1619474783,53.6,40,4.61,57,35.1333,140.3
317,Kimbe,PG,1619474783,80.98,96,1.03,77,-5.5502,150.1429
318,Lata,PT,1619474784,60.01,35,1.99,93,40.1629,-8.3327
319,Makkah al Mukarramah,SA,1619474544,84.69,0,2.84,41,21.4267,39.8261
320,Marawi,PH,1619474784,73.99,100,5.99,91,7.9986,124.2928
321,Uyemskiy,RU,1619474785,32.0,90,4.47,86,64.4743,40.8524
322,Airai,TL,1619474785,55.26,72,1.95,71,-8.9266,125.4092
323,Lundazi,ZM,1619474785,62.64,68,5.66,89,-12.2929,33.1782
324,Constitución,CL,1619474785,59.94,0,12.12,69,-35.3333,-72.4167
325,Mawlaik,MM,1619474786,79.45,38,1.25,30,23.6333,94.4167
326,Laguna,US,1619474786,69.01,1,3.44,34,38.421,-121.4238
327,Wanning,CN,1619474786,77.5,100,4.65,88,18.8003,110.3967
328,Vorukh,TJ,1619474787,56.14,0,6.76,27,39.8494,70.5838
329,San Ramon,US,1619474626,64.99,40,10.36,42,37.7799,-121.978
330,Nicoya,CR,1619474787,89.6,0,16.11,45,10.1483,-85.452
331,Atar,MR,1619474787,83.61,38,5.95,17,20.5169,-13.0499
332,Nueve de Julio,AR,1619474788,61.0,9,1.39,63,-35.4444,-60.8831
333,Marsá Maţrūḩ,EG,1619474788,59.0,0,5.75,77,31.3525,27.2453
334,Forsytheganj,BY,1619474788,30.9,79,6.44,87,52.6333,29.7333
335,Arraial do Cabo,BR,1619474788,77.0,40,4.61,83,-22.9661,-42.0278
336,Logan Lake,CA,1619474789,66.99,20,13.8,18,50.4998,-120.8025
337,Marrakesh,MA,1619474620,62.6,40,9.22,67,31.6315,-8.0083
338,Udalguri,IN,1619474789,76.33,70,5.57,36,26.7667,92.1333
339,Abu Kamal,SY,1619474790,73.67,22,14.61,28,34.4506,40.9171
340,Vila,PT,1619474790,53.01,96,1.74,88,42.0304,-8.1588
341,Yar-Sale,RU,1619474790,33.42,100,13.42,98,66.8333,70.8333
342,Härnösand,SE,1619474791,30.2,99,3.44,80,62.6323,17.9379
343,Palauig,PH,1619474791,78.06,70,3.6,75,15.435,119.9045
344,Marabu,MY,1619474564,77.0,20,3.44,94,4.4148,114.0089
345,Garzón,CO,1619474703,77.63,89,2.98,85,2.1959,-75.6278
346,Morro Agudo,BR,1619474569,84.2,0,4.61,37,-20.7314,-48.0578
347,Departamento de Maldonado,UY,1619474735,63.0,75,14.97,72,-34.6667,-54.9167
348,Chimbote,PE,1619474703,69.28,10,8.79,79,-9.0853,-78.5783
349,Jiazi,CN,1619474792,70.48,100,12.53,86,22.8779,116.067
350,Olafsvik,IS,1619474793,42.15,0,3.98,64,64.8945,-23.7142
351,Kiunga,PG,1619474793,73.99,100,0.85,99,-6.1219,141.2906
352,Katerero,TZ,1619474793,64.4,20,3.96,94,-1.4,31.7333
353,Kavieng,PG,1619474794,82.98,55,1.07,72,-2.5744,150.7967
354,Maamba,ZM,1619474794,71.85,63,2.01,56,-17.3667,27.15
355,Imbituba,BR,1619474794,69.8,40,10.36,60,-28.24,-48.6703
356,Rawson,AR,1619474794,67.12,18,6.13,35,-43.3002,-65.1023
